epoch,train_loss,train_acc,test_acc,test_loss,f1_score,balanced_acc,batch_size,learning_rate,combo_key
1,0.3769696714637788,80.05398252886485,85.37002341920375,0.2756987643835252,86.13349437829028,88.720903415081,64,0.0001,BS64_LR0.0001
2,0.25261471080518744,86.35272488817068,85.7072599531616,0.2654225275165842,86.5961188070094,89.51043808689873,64,0.0001,BS64_LR0.0001
3,0.19117800348168593,90.3949741211738,85.95316159250585,0.30588685667621873,87.11095563945263,89.27623768231457,64,0.0001,BS64_LR0.0001
4,0.13149463938379577,93.82186936462212,85.56908665105387,0.4324964218198539,87.08281804761549,87.98077770827435,64,0.0001,BS64_LR0.0001
5,0.09732119788579034,95.73350663949975,86.21311475409837,0.425558271689597,87.27932071081224,87.57174479805965,64,0.0001,BS64_LR0.0001
6,0.07294046275225897,96.96245813719291,86.11475409836066,0.4396709223350365,87.48755638286764,87.91443496019097,64,0.0001,BS64_LR0.0001
7,0.054705874450922114,97.7932738471627,86.21779859484778,0.5283935304429984,87.61881639581385,87.52814889858897,64,0.0001,BS64_LR0.0001
8,0.048937216734720124,98.15159605611373,86.02341920374708,0.5487620403689003,87.18221062053755,86.62923360869236,64,0.0001,BS64_LR0.0001
9,0.04084701254830754,98.56261270755755,86.12177985948477,0.5751741147059166,87.5561958792936,87.98623087454635,64,0.0001,BS64_LR0.0001
10,0.030767979918841365,98.95255158200426,86.20374707259954,0.6266035363970403,87.25210918933556,86.75359928574774,64,0.0001,BS64_LR0.0001
11,0.02250614750750826,99.2435420033256,86.26463700234191,0.6953274986768019,87.58472471169316,88.37901439035952,64,0.0001,BS64_LR0.0001
12,0.016006907363461775,99.4923768706527,86.45901639344262,0.8162477444076609,87.7643443598314,87.73021539419291,64,0.0001,BS64_LR0.0001
13,0.012485678482763059,99.63523735918874,86.60421545667447,0.7119850392737789,88.04672298147317,89.05592033224787,64,0.0001,BS64_LR0.0001
14,0.008173076104519927,99.73418581231411,86.62295081967213,0.8060421515479238,88.02007780285247,88.47519067794248,64,0.0001,BS64_LR0.0001
15,0.005617592115389378,99.81615494508068,86.71662763466043,0.8848473470390379,88.04782551786442,88.3246686994593,64,0.0001,BS64_LR0.0001
