epoch,train_loss,train_acc,test_acc,test_loss,f1_score,balanced_acc,batch_size,learning_rate,combo_key
1,0.4762077703039134,75.8571629312162,85.43559718969556,0.26254671682676156,85.86223070630528,89.63494212191456,64,2e-05,BS64_LR2e-05
2,0.23610811793612113,87.01140541933066,86.94613583138174,0.23125580921323,85.88135403852851,90.87875318983805,64,2e-05,BS64_LR2e-05
3,0.16371133246167002,91.25038057097356,87.96018735362998,0.26849384219971245,88.99198917424725,90.25558402089553,64,2e-05,BS64_LR2e-05
4,0.10699354115847055,94.57715637368557,88.30444964871195,0.31945966487516186,89.50438466453768,89.91803597357931,64,2e-05,BS64_LR2e-05
5,0.07116424329793475,96.5198248202534,88.26932084309134,0.3982389565936463,89.16573404569647,90.00121094333088,64,2e-05,BS64_LR2e-05
6,0.05261239139240168,97.64045996393358,88.22716627634661,0.3982489462663046,89.43989678667947,90.07619545070668,64,2e-05,BS64_LR2e-05
7,0.040591412990083744,98.19609358532986,88.29742388758783,0.5167393831948855,89.32332899161355,89.24691842507232,64,2e-05,BS64_LR2e-05
8,0.03090797683736741,98.68205344387457,88.26463700234191,0.5658869044799469,89.44746782552309,89.67142782904494,64,2e-05,BS64_LR2e-05
9,0.024452781975154714,99.03334972715989,88.28337236533957,0.6007429811333914,89.31255166439249,89.25688248456295,64,2e-05,BS64_LR2e-05
10,0.019500522900218184,99.23358860863252,88.3559718969555,0.6664948239699452,89.45172879854066,89.21196255529588,64,2e-05,BS64_LR2e-05
11,0.015109917486429201,99.4279725520504,88.60421545667447,0.6533189355981296,89.61678990106134,89.5561098991795,64,2e-05,BS64_LR2e-05
12,0.01257654007809113,99.54331483172908,88.4168618266979,0.6892180305676993,89.3874318089361,89.916206071159,64,2e-05,BS64_LR2e-05
13,0.00923730451337538,99.66041359282418,88.6135831381733,0.7425752891238756,89.56621920622145,89.80323445139786,64,2e-05,BS64_LR2e-05
14,0.0074263899262239225,99.74179723178528,88.59250585480095,0.766860131409945,89.59604119325823,90.05583456861515,64,2e-05,BS64_LR2e-05
15,0.005447270194339558,99.80912901941497,88.70491803278688,0.8109428957327754,89.63150029593915,89.72871349053833,64,2e-05,BS64_LR2e-05
